datum;badid;bad;adresse1;adresse2;ort;plz;kanton;beckenid;becken;typ;temperatur
2022-01-02 22:00:00;7;Badebetriebe Thun;Strandbad Thun;Strandbadweg 10;Thun;3604;BE;22;Strandbad Thun (50m);Freibad;7.8
2022-01-02 22:00:00;7;Badebetriebe Thun;Strandbad Thun;Strandbadweg 10;Thun;3604;BE;23;Strandbad Thun (See);See;6.1
2022-01-02 22:00:47;5;Frei- und Seebad;Frei- und Seebad Spiez;Schachenstrasse 17;Spiez;3700;BE;15;Thunersee (Spiez);See;6.8
2022-01-02 22:05:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;7.1
2022-01-02 22:10:50;5;Frei- und Seebad;Frei- und Seebad Spiez;Schachenstrasse 17;Spiez;3700;BE;15;Thunersee (Spiez);See;6.7
2022-01-02 22:20:53;5;Frei- und Seebad;Frei- und Seebad Spiez;Schachenstrasse 17;Spiez;3700;BE;15;Thunersee (Spiez);See;6.8
2022-01-02 22:30:03;126;Gürbe;;;Belp;3174;BE;290;Gürbe;Fluss;6.2
2022-01-02 22:30:07;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;7
2022-01-02 22:30:10;44;Aare;;;Brugg;5200;AG;129;Aare;Fluss;6.7
2022-01-02 22:30:13;43;Emme;;;Emmenmatt;3543;BE;128;Emme;Fluss;5.4
2022-01-02 22:30:16;47;Reuss;;;Luzern;6000;LU;132;Reuss;Fluss;7.2
2022-01-02 22:30:18;48;Reuss;;;Mellingen;5507;AG;133;Reuss;Fluss;6.7
2022-01-02 22:30:21;50;Rhein;;;Rheinfelden;4310;AG;135;Rhein;Fluss;6.8
2022-01-02 22:30:23;125;Inn;;;S-chanf;7525;GR;289;Inn;Fluss;1.1
2022-01-02 22:30:25;51;Rhone;;;Sion;1950;VS;136;Rhone;Fluss;4.1
2022-01-02 22:30:28;7;Badebetriebe Thun;Strandbad Thun;Strandbadweg 10;Thun;3604;BE;98;Flussbad Schwäbis (Aare);Fluss;7.2
2022-01-02 22:30:30;49;Rhein;;;Basel / Weil;4053;BS;134;Rhein;Fluss;7.1
2022-01-02 22:30:55;5;Frei- und Seebad;Frei- und Seebad Spiez;Schachenstrasse 17;Spiez;3700;BE;15;Thunersee (Spiez);See;6.8
2022-01-02 22:40:58;5;Frei- und Seebad;Frei- und Seebad Spiez;Schachenstrasse 17;Spiez;3700;BE;15;Thunersee (Spiez);See;6.8
2022-01-02 22:51:01;5;Frei- und Seebad;Frei- und Seebad Spiez;Schachenstrasse 17;Spiez;3700;BE;15;Thunersee (Spiez);See;6.8
2022-01-02 23:00:00;7;Badebetriebe Thun;Strandbad Thun;Strandbadweg 10;Thun;3604;BE;22;Strandbad Thun (50m);Freibad;7.8
2022-01-02 23:00:00;7;Badebetriebe Thun;Strandbad Thun;Strandbadweg 10;Thun;3604;BE;23;Strandbad Thun (See);See;6.1
2022-01-02 23:01:04;5;Frei- und Seebad;Frei- und Seebad Spiez;Schachenstrasse 17;Spiez;3700;BE;15;Thunersee (Spiez);See;6.7
2022-01-02 23:05:02;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;7.1
2022-01-02 23:11:07;5;Frei- und Seebad;Frei- und Seebad Spiez;Schachenstrasse 17;Spiez;3700;BE;15;Thunersee (Spiez);See;6.8
2022-01-02 23:21:10;5;Frei- und Seebad;Frei- und Seebad Spiez;Schachenstrasse 17;Spiez;3700;BE;15;Thunersee (Spiez);See;6.8
2022-01-02 23:30:03;126;Gürbe;;;Belp;3174;BE;290;Gürbe;Fluss;6.3
2022-01-02 23:30:06;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;7
2022-01-02 23:30:09;44;Aare;;;Brugg;5200;AG;129;Aare;Fluss;6.7
2022-01-02 23:30:12;43;Emme;;;Emmenmatt;3543;BE;128;Emme;Fluss;5.4
2022-01-02 23:30:15;47;Reuss;;;Luzern;6000;LU;132;Reuss;Fluss;7.2
2022-01-02 23:30:18;48;Reuss;;;Mellingen;5507;AG;133;Reuss;Fluss;6.7
2022-01-02 23:30:20;50;Rhein;;;Rheinfelden;4310;AG;135;Rhein;Fluss;6.8
2022-01-02 23:30:23;125;Inn;;;S-chanf;7525;GR;289;Inn;Fluss;1
2022-01-02 23:30:24;51;Rhone;;;Sion;1950;VS;136;Rhone;Fluss;4.1
2022-01-02 23:30:27;7;Badebetriebe Thun;Strandbad Thun;Strandbadweg 10;Thun;3604;BE;98;Flussbad Schwäbis (Aare);Fluss;7.2
2022-01-02 23:30:30;49;Rhein;;;Basel / Weil;4053;BS;134;Rhein;Fluss;7.1
2022-01-02 23:31:12;5;Frei- und Seebad;Frei- und Seebad Spiez;Schachenstrasse 17;Spiez;3700;BE;15;Thunersee (Spiez);See;7
2022-01-02 23:41:15;5;Frei- und Seebad;Frei- und Seebad Spiez;Schachenstrasse 17;Spiez;3700;BE;15;Thunersee (Spiez);See;6.8
2022-01-02 23:50:00;7;Badebetriebe Thun;Strandbad Thun;Strandbadweg 10;Thun;3604;BE;22;Strandbad Thun (50m);Freibad;7.8
2022-01-02 23:50:00;7;Badebetriebe Thun;Strandbad Thun;Strandbadweg 10;Thun;3604;BE;23;Strandbad Thun (See);See;6.1
2022-01-02 23:51:18;5;Frei- und Seebad;Frei- und Seebad Spiez;Schachenstrasse 17;Spiez;3700;BE;15;Thunersee (Spiez);See;6.9
2022-01-03 00:01:21;5;Frei- und Seebad;Frei- und Seebad Spiez;Schachenstrasse 17;Spiez;3700;BE;15;Thunersee (Spiez);See;6.8
2022-01-03 00:05:03;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;7
2022-01-03 00:11:23;5;Frei- und Seebad;Frei- und Seebad Spiez;Schachenstrasse 17;Spiez;3700;BE;15;Thunersee (Spiez);See;6.8
2022-01-03 00:21:26;5;Frei- und Seebad;Frei- und Seebad Spiez;Schachenstrasse 17;Spiez;3700;BE;15;Thunersee (Spiez);See;6.8
2022-01-03 00:30:03;126;Gürbe;;;Belp;3174;BE;290;Gürbe;Fluss;6.3
2022-01-03 00:30:07;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;7
2022-01-03 00:30:10;44;Aare;;;Brugg;5200;AG;129;Aare;Fluss;6.7
2022-01-03 00:30:13;43;Emme;;;Emmenmatt;3543;BE;128;Emme;Fluss;5.4
2022-01-03 00:30:16;47;Reuss;;;Luzern;6000;LU;132;Reuss;Fluss;7.1
2022-01-03 00:30:18;48;Reuss;;;Mellingen;5507;AG;133;Reuss;Fluss;6.8
2022-01-03 00:30:21;50;Rhein;;;Rheinfelden;4310;AG;135;Rhein;Fluss;6.8
2022-01-03 00:30:24;125;Inn;;;S-chanf;7525;GR;289;Inn;Fluss;0.9
2022-01-03 00:30:25;51;Rhone;;;Sion;1950;VS;136;Rhone;Fluss;5.2
2022-01-03 00:30:28;7;Badebetriebe Thun;Strandbad Thun;Strandbadweg 10;Thun;3604;BE;98;Flussbad Schwäbis (Aare);Fluss;7.2
2022-01-03 00:30:31;49;Rhein;;;Basel / Weil;4053;BS;134;Rhein;Fluss;7.1
2022-01-03 00:31:29;5;Frei- und Seebad;Frei- und Seebad Spiez;Schachenstrasse 17;Spiez;3700;BE;15;Thunersee (Spiez);See;7
2022-01-03 00:41:32;5;Frei- und Seebad;Frei- und Seebad Spiez;Schachenstrasse 17;Spiez;3700;BE;15;Thunersee (Spiez);See;6.8
2022-01-03 00:51:34;5;Frei- und Seebad;Frei- und Seebad Spiez;Schachenstrasse 17;Spiez;3700;BE;15;Thunersee (Spiez);See;6.7
2022-01-03 01:00:00;7;Badebetriebe Thun;Strandbad Thun;Strandbadweg 10;Thun;3604;BE;22;Strandbad Thun (50m);Freibad;7.8
2022-01-03 01:00:00;7;Badebetriebe Thun;Strandbad Thun;Strandbadweg 10;Thun;3604;BE;23;Strandbad Thun (See);See;6.1
2022-01-03 01:01:37;5;Frei- und Seebad;Frei- und Seebad Spiez;Schachenstrasse 17;Spiez;3700;BE;15;Thunersee (Spiez);See;6.7
2022-01-03 01:05:02;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;7
2022-01-03 01:11:40;5;Frei- und Seebad;Frei- und Seebad Spiez;Schachenstrasse 17;Spiez;3700;BE;15;Thunersee (Spiez);See;6.8
2022-01-03 01:21:43;5;Frei- und Seebad;Frei- und Seebad Spiez;Schachenstrasse 17;Spiez;3700;BE;15;Thunersee (Spiez);See;6.8
2022-01-03 01:30:03;126;Gürbe;;;Belp;3174;BE;290;Gürbe;Fluss;6.4
2022-01-03 01:30:06;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;7
2022-01-03 01:30:09;44;Aare;;;Brugg;5200;AG;129;Aare;Fluss;6.7
2022-01-03 01:30:13;43;Emme;;;Emmenmatt;3543;BE;128;Emme;Fluss;5.5
2022-01-03 01:30:15;47;Reuss;;;Luzern;6000;LU;132;Reuss;Fluss;7.1
2022-01-03 01:30:18;48;Reuss;;;Mellingen;5507;AG;133;Reuss;Fluss;6.8
2022-01-03 01:30:21;50;Rhein;;;Rheinfelden;4310;AG;135;Rhein;Fluss;6.8
2022-01-03 01:30:23;125;Inn;;;S-chanf;7525;GR;289;Inn;Fluss;0.6
2022-01-03 01:30:25;51;Rhone;;;Sion;1950;VS;136;Rhone;Fluss;5.2
2022-01-03 01:30:28;7;Badebetriebe Thun;Strandbad Thun;Strandbadweg 10;Thun;3604;BE;98;Flussbad Schwäbis (Aare);Fluss;7.2
2022-01-03 01:30:30;49;Rhein;;;Basel / Weil;4053;BS;134;Rhein;Fluss;7.1
2022-01-03 01:31:46;5;Frei- und Seebad;Frei- und Seebad Spiez;Schachenstrasse 17;Spiez;3700;BE;15;Thunersee (Spiez);See;6.8
2022-01-03 01:41:48;5;Frei- und Seebad;Frei- und Seebad Spiez;Schachenstrasse 17;Spiez;3700;BE;15;Thunersee (Spiez);See;6.7
2022-01-03 01:51:51;5;Frei- und Seebad;Frei- und Seebad Spiez;Schachenstrasse 17;Spiez;3700;BE;15;Thunersee (Spiez);See;6.8
2022-01-03 02:00:00;7;Badebetriebe Thun;Strandbad Thun;Strandbadweg 10;Thun;3604;BE;22;Strandbad Thun (50m);Freibad;7.8
2022-01-03 02:00:00;7;Badebetriebe Thun;Strandbad Thun;Strandbadweg 10;Thun;3604;BE;23;Strandbad Thun (See);See;6.1
2022-01-03 02:01:54;5;Frei- und Seebad;Frei- und Seebad Spiez;Schachenstrasse 17;Spiez;3700;BE;15;Thunersee (Spiez);See;6.8
2022-01-03 02:05:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;7
2022-01-03 02:11:57;5;Frei- und Seebad;Frei- und Seebad Spiez;Schachenstrasse 17;Spiez;3700;BE;15;Thunersee (Spiez);See;6.8
2022-01-03 02:21:59;5;Frei- und Seebad;Frei- und Seebad Spiez;Schachenstrasse 17;Spiez;3700;BE;15;Thunersee (Spiez);See;6.8
2022-01-03 02:30:03;126;Gürbe;;;Belp;3174;BE;290;Gürbe;Fluss;6.4
2022-01-03 02:30:06;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;7.1
2022-01-03 02:30:09;44;Aare;;;Brugg;5200;AG;129;Aare;Fluss;6.7
2022-01-03 02:30:12;43;Emme;;;Emmenmatt;3543;BE;128;Emme;Fluss;5.5
2022-01-03 02:30:15;47;Reuss;;;Luzern;6000;LU;132;Reuss;Fluss;7.1
2022-01-03 02:30:18;48;Reuss;;;Mellingen;5507;AG;133;Reuss;Fluss;6.9
2022-01-03 02:30:20;50;Rhein;;;Rheinfelden;4310;AG;135;Rhein;Fluss;6.9
2022-01-03 02:30:22;125;Inn;;;S-chanf;7525;GR;289;Inn;Fluss;0.5
2022-01-03 02:30:24;51;Rhone;;;Sion;1950;VS;136;Rhone;Fluss;5.2
2022-01-03 02:30:27;7;Badebetriebe Thun;Strandbad Thun;Strandbadweg 10;Thun;3604;BE;98;Flussbad Schwäbis (Aare);Fluss;7.2
2022-01-03 02:30:30;49;Rhein;;;Basel / Weil;4053;BS;134;Rhein;Fluss;7.1
2022-01-03 02:32:02;5;Frei- und Seebad;Frei- und Seebad Spiez;Schachenstrasse 17;Spiez;3700;BE;15;Thunersee (Spiez);See;6.8
2022-01-03 02:42:05;5;Frei- und Seebad;Frei- und Seebad Spiez;Schachenstrasse 17;Spiez;3700;BE;15;Thunersee (Spiez);See;6.8
2022-01-03 02:52:08;5;Frei- und Seebad;Frei- und Seebad Spiez;Schachenstrasse 17;Spiez;3700;BE;15;Thunersee (Spiez);See;6.7
